'Ka_mean = f(Inu)',
"'Given are: number of blocks, block length, turbulence intensity'",
"'Umean / Vcrit, <Ka>'",
,
1.3923,0.23173
1.4055,0.21563
1.4188,0.20001
1.432,0.18488
1.4453,0.17022
1.4586,0.15602
1.4718,0.14225
1.4851,0.12892
1.4983,0.11599
1.5116,0.10345
1.5249,0.091296
1.5381,0.079497
1.5514,0.068044
1.5646,0.056921
1.5779,0.046115
1.5912,0.03561
1.6044,0.025396
1.6177,0.01546
1.6309,0.0057899
1.6442,-0.0036237
1.6575,-0.012791
1.6707,-0.021721
1.684,-0.030424
1.6972,-0.038906
1.7105,-0.047175
1.7238,-0.055239
1.737,-0.063103
1.7503,-0.070775
1.7635,-0.078259
1.7768,-0.085562
1.7901,-0.092687
1.8033,-0.099639
1.8166,-0.10642
1.8298,-0.11304
1.8431,-0.1195
1.8564,-0.1258
1.8696,-0.13195
1.8829,-0.13794
1.8961,-0.14379
1.9094,-0.14948
1.9227,-0.15504
1.9359,-0.16045
1.9492,-0.16572
1.9624,-0.17086
1.9757,-0.17585
1.989,-0.18072
2.0022,-0.18545
2.0155,-0.19006
2.0287,-0.19453
2.042,-0.19888
2.0552,-0.20311
2.0685,-0.20722
2.0818,-0.21121
2.095,-0.21509
0.2,NaN
0.49061,-0.0011829
0.50387,-0.0018099
0.51713,-0.0026656
0.53039,-0.0037943
0.54365,-0.005237
0.55691,-0.0070258
0.57017,-0.009177
0.58343,-0.011683
0.59669,-0.014505
0.60994,-0.017563
0.6232,-0.020734
0.63646,-0.023851
0.64972,-0.026702
0.66298,-0.029044
0.67624,-0.030612
0.6895,-0.031134
0.70276,-0.030351
0.71602,-0.02803
0.72928,-0.023978
0.74254,-0.018057
0.7558,-0.010189
0.76906,-0.00036093
0.78232,0.011379
0.79558,0.02492
0.80884,0.040102
0.8221,0.05672
0.83536,0.074534
0.84862,0.093284
0.86188,0.1127
0.87514,0.13249
0.8884,0.1524
0.90166,0.17217
0.91492,0.19155
0.92818,0.21033
0.94144,0.22831
0.9547,0.24533
0.96796,0.26126
0.98122,0.27598
0.99448,0.2894
1.0077,0.30148
1.021,0.31216
1.0343,0.32145
1.0475,0.32933
1.0608,0.33582
1.074,0.34097
1.0873,0.34479
1.1006,0.34736
1.1138,0.34873
1.1271,0.34895
1.1403,0.34809
1.1536,0.34624
1.1669,0.34344
1.1801,0.33978
1.1934,0.33532
1.2066,0.33014
1.2199,0.32429
1.2331,0.31784
1.2464,0.31085
1.2597,0.30338
1.2729,0.29548
1.2862,0.28721
1.2994,0.27861
1.3127,0.26972
1.326,0.2606
1.3392,0.25127
1.3525,0.24178
1.3657,0.23216
1.379,0.22243
1.3923,0.21263
1.4055,0.20277
1.4188,0.19289
1.432,0.183
1.4453,0.17312
1.4586,0.16328
1.4718,0.15347
1.4851,0.14373
1.4983,0.13405
1.5116,0.12445
1.5249,0.11495
1.5381,0.10554
1.5514,0.096243
1.5646,0.087056
1.5779,0.077987
1.5912,0.069042
1.6044,0.060224
1.6177,0.051537
1.6309,0.042985
1.6442,0.034568
1.6575,0.02629
1.6707,0.018151
1.684,0.010152
1.6972,0.0022955
1.7105,-0.0054198
1.7238,-0.012994
1.737,-0.020426
1.7503,-0.027718
1.7635,-0.034869
1.7768,-0.041882
1.7901,-0.048756
1.8033,-0.055494
1.8166,-0.062097
1.8298,-0.068566
1.8431,-0.074903
1.8564,-0.081111
1.8696,-0.08719
1.8829,-0.093143
1.8961,-0.098972
1.9094,-0.10468
1.9227,-0.11027
1.9359,-0.11574
1.9492,-0.12109
1.9624,-0.12633
1.9757,-0.13147
1.989,-0.13649
2.0022,-0.14141
2.0155,-0.14622
2.0287,-0.15094
2.042,-0.15556
2.0552,-0.16008
2.0685,-0.1645
2.0818,-0.16884
2.095,-0.17308
0.3,NaN
0.49061,-0.005744
0.50387,-0.0072217
0.51713,-0.0087881
0.53039,-0.010352
0.54365,-0.011798
0.55691,-0.012991
0.57017,-0.013785
0.58343,-0.014033
0.59669,-0.013591
0.60994,-0.012333
0.6232,-0.010151
0.63646,-0.0069679
0.64972,-0.0027336
